result,action,has_hit,has_bat,batter_name,spray_angle,launch_angle,exit_velocity,bat_elevation,bat_forward_tilt,head_speed,head_speed_x,head_speed_y,head_speed_z,handle_speed,handle_speed_x,handle_speed_y,handle_speed_z,xxBA
HitIntoPlay,,True,True,Alice Atkins,27.482588965436427,65.83795982962585,24.0,-15.223476391630587,0.28088823029197557,84.3175374628725,-15.306268501994602,82.62033893184349,7.0032037764912785,14.193727492969497,-13.724390166144616,-2.990165087633638,-2.0400802584231967,0.0662
HitIntoPlay,,True,True,Bob Batterson,37.20027897884712,-9.146789451447502,96.0,-35.22960706346723,13.091400709117627,67.01505416599682,8.786029049552463,62.691727000861455,21.990237471691074,8.860496888130168,6.89184387725525,1.4456075402973068,5.377835244365459,0.22680000000000003
Strike,Foul,True,True,Clara Clapham,-47.134219800973646,29.573659989937717,86.0,-16.93862983788744,-20.803745799729914,61.891088364418856,-20.159199159757517,58.37778196262668,-4.018467530484036,9.710465360833197,3.2608902184501627,9.145495654509576,-0.14014899394541924,0.05455
HitIntoPlay,,True,True,David Dunkins,8.5673804873675,36.176988409934935,89.0,-19.414393594713953,4.60327200747691,73.60784296199968,-17.802723296438298,71.39418127292576,2.0120807929788063,13.674726216098371,-9.934518718383929,-4.624728403070867,8.180181056502171,0.028000000000000008
Strike,Foul,True,True,Ernest Engels,-78.75746105072201,-44.25666999833081,67.0,-10.538706097523384,29.281764311677637,69.37339549718438,-25.820464505052925,61.27073112471299,19.795684453819515,8.934200088072526,-7.247049835384525,1.7465977946135725,-4.924387884907045,0.1699
HitIntoPlay,,True,True,Frankie Fisher,-23.31026240869631,-35.6496074915076,97.0,-28.106920567552052,-7.105686192949609,74.64638680311711,2.5193071086577223,74.39773903997605,5.541893195692942,14.177185528624895,-11.047622729518123,8.681196594171622,1.8919427138866254,0.0768
HitIntoPlay,,True,True,Gabby Galway,-31.334473558654384,-11.943482730055928,82.0,-13.944934896529876,8.132609386124589,77.09692018838666,-16.384584433347936,74.63704733415315,10.236779802278493,10.649673980891956,-9.908506729337857,-0.7479407722954458,3.8311401560229594,0.09195
Strike,Foul,True,True,Bob Batterson,-60.395850709278044,9.933994469797232,96.0,-24.868429662922274,-31.971638868816733,65.1855448216742,-25.747585690385467,57.62811406981991,-16.285501330035178,11.492360735936193,4.009548271207264,10.621085162580345,1.7861768991234792,0.6678000000000002
HitIntoPlay,,True,True,Harry Hitterson,41.94832443789492,10.774237222311674,53.0,-9.967904354053072,31.510605587221754,71.59689446303346,-32.492112142547285,61.68454242926302,16.29095364180175,6.628389502577933,-4.18550021825499,4.204758225596883,2.9558659619725853,0.1443
Strike,Foul,True,True,Ivy Isles,83.52929222546643,48.86527817961585,86.0,-22.299887806024763,4.2807765791500865,78.97830937116188,-21.957014047967842,75.74728791807688,-4.220338645211378,46.22982168145708,-40.42520089167726,19.91182426244759,-10.320794548301947,0.00505
HitIntoPlay,,True,True,James Jacobson,-0.3604280916673238,2.607411976003535,97.0,-30.498378910384158,-16.879556329577046,82.44585859879433,9.465930586040125,80.68187249760457,14.076619214603241,31.851847440927497,24.227119836071036,-2.7218937191609234,20.498247350209365,0.46035000000000004
HitIntoPlay,,True,True,David Dunkins,16.612458046340407,29.022325240613977,90.0,-21.73727278198706,-1.7531355646034086,79.26875159754486,-23.676109523255274,75.59214929932084,-2.9671167798520917,16.98768593357826,-14.916659285606755,-0.5400068124237424,8.11068072220516,0.07065
